STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
       78;20140809;   3;   18.9;  16.9;  -999;    -999;   78.58;-999;   22.9;   13.5;   11.8;-999;   0.1;   4;     -999;   0;eor
       78;20140810;   3;   18.8;  17.4;  -999;    -999;   80.83;-999;   25.5;   12.8;   11.3;-999;  10.8;   4;     -999;   0;eor
       78;20140811;   3;   15.8;  13.7;  -999;    -999;   77.96;-999;   21.4;   11.3;    9.5;-999;   2.7;   4;     -999;   0;eor
       78;20140812;   3;   15.1;  13.5;  -999;    -999;   79.92;-999;   20.2;   11.5;    9.3;-999;   1.5;   4;     -999;   0;eor
       78;20140813;   3;   15.7;  13.0;  -999;    -999;   75.08;-999;   21.2;   10.2;    7.8;-999;   0.0;   0;     -999;   0;eor
       78;20140814;   3;   14.9;  14.6;  -999;    -999;   86.33;-999;   20.5;   10.9;    8.7;-999;   0.3;   4;     -999;   0;eor
       78;20140815;   3;   14.3;  14.7;  -999;    -999;   90.79;-999;   19.0;   11.4;    9.8;-999;   8.2;   4;     -999;   0;eor
       78;20140816;   3;   14.3;  13.3;  -999;    -999;   82.75;-999;   18.5;   11.1;    9.6;-999;   0.1;   4;     -999;   0;eor
       78;20140817;   3;   14.5;  13.8;  -999;    -999;   83.50;-999;   17.2;   11.9;   10.9;-999;   9.7;   4;     -999;   0;eor
       78;20140818;   3;   13.6;  13.4;  -999;    -999;   86.25;-999;   16.4;   11.4;    9.8;-999;   6.7;   4;     -999;   0;eor
       78;20140819;   3;   11.8;  12.3;  -999;    -999;   89.04;-999;   16.5;    9.1;    7.7;-999;   1.0;   4;     -999;   0;eor
       78;20140820;   3;   11.2;  11.7;  -999;    -999;   88.42;-999;   16.8;    7.9;    6.6;-999;   3.7;   4;     -999;   0;eor
       78;20140821;   3;   12.2;  11.7;  -999;    -999;   83.96;-999;   18.2;    7.7;    5.5;-999;   0.2;   4;     -999;   0;eor
       78;20140822;   3;   12.9;  12.3;  -999;    -999;   83.29;-999;   18.9;    9.2;    7.6;-999;   3.9;   4;     -999;   0;eor
       78;20140823;   3;   11.9;  12.1;  -999;    -999;   87.17;-999;   17.2;    8.1;    5.9;-999;   0.6;   4;     -999;   0;eor
       78;20140824;   3;   11.1;  11.5;  -999;    -999;   87.63;-999;   17.9;    6.6;    4.4;-999;   1.2;   4;     -999;   0;eor
       78;20140825;   3;   11.8;  11.1;  -999;    -999;   81.88;-999;   16.5;    6.0;    4.0;-999;   0.4;   4;     -999;   0;eor
       78;20140826;   3;   13.7;  12.0;  -999;    -999;   77.42;-999;   18.6;   10.3;    8.0;-999;   0.0;   0;     -999;   0;eor
       78;20140827;   3;   13.6;  12.0;  -999;    -999;   79.71;-999;   21.6;    6.4;    4.2;-999;   0.0;   0;     -999;   0;eor
       78;20140828;   3;   15.7;  14.6;  -999;    -999;   82.13;-999;   23.8;    7.1;    4.8;-999;   0.8;   4;     -999;   0;eor
       78;20140829;   3;   17.5;  15.5;  -999;    -999;   79.58;-999;   21.8;   14.0;   12.3;-999;   0.3;   4;     -999;   0;eor
       78;20140830;   3;   15.4;  16.1;  -999;    -999;   92.04;-999;   18.2;   11.8;    9.8;-999;   2.8;   4;     -999;   0;eor
       78;20140831;   3;   14.1;  14.3;  -999;    -999;   89.25;-999;   18.8;   10.6;    8.7;-999;   1.0;   4;     -999;   0;eor
