STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      142;20140808;   3;   19.6;  15.4;  -999;    -999;   70.88;-999;   26.9;   10.6;    9.8;-999;   0.2;   4;     -999;   0;eor
      142;20140809;   3;   19.8;  17.6;  -999;    -999;   76.79;-999;   23.5;   15.3;   13.9;-999;   0.0;   4;     -999;   0;eor
      142;20140810;   3;   21.1;  17.8;  -999;    -999;   74.21;-999;   29.1;   13.9;   12.7;-999;   8.3;   4;     -999;   0;eor
      142;20140811;   3;   16.2;  17.4;  -999;    -999;   94.08;-999;   17.8;   13.5;   12.6;-999;   3.5;   4;     -999;   0;eor
      142;20140812;   3;   16.5;  13.5;  -999;    -999;   73.63;-999;   22.2;   12.6;   11.8;-999;   0.0;   0;     -999;   0;eor
      142;20140813;   3;   14.2;  15.1;  -999;    -999;   92.92;-999;   16.8;   12.3;   11.5;-999;   7.9;   4;     -999;   0;eor
      142;20140814;   3;   14.3;  12.3;  -999;    -999;   76.13;-999;   19.5;   10.8;    9.2;-999;   0.0;   0;     -999;   0;eor
      142;20140815;   3;   12.8;  12.4;  -999;    -999;   83.83;-999;   17.0;   10.8;    9.1;-999;   3.1;   4;     -999;   0;eor
      142;20140816;   3;   12.8;  12.7;  -999;    -999;   86.92;-999;   17.2;   10.8;    9.3;-999;  12.2;   4;     -999;   0;eor
      142;20140817;   3;   14.9;  11.8;  -999;    -999;   72.21;-999;   20.9;    9.1;    7.8;-999;   0.0;   0;     -999;   0;eor
      142;20140818;   3;   15.8;  12.3;  -999;    -999;   69.17;-999;   21.6;   10.7;    7.7;-999;   1.1;   4;     -999;   0;eor
      142;20140819;   3;   15.4;  12.9;  -999;    -999;   75.25;-999;   20.7;   11.2;    9.5;-999;   0.0;   0;     -999;   0;eor
      142;20140820;   3;   13.8;  11.8;  -999;    -999;   75.29;-999;   16.6;   11.5;   10.2;-999;   0.7;   4;     -999;   0;eor
      142;20140821;   3;   13.9;  10.9;  -999;    -999;   71.29;-999;   19.9;    9.3;    7.3;-999;   0.0;   0;     -999;   0;eor
      142;20140822;   3;   13.9;  11.4;  -999;    -999;   73.75;-999;   21.0;    8.1;    6.4;-999;   0.0;   0;     -999;   0;eor
      142;20140823;   3;   14.2;  12.0;  -999;    -999;   76.00;-999;   19.3;   10.3;    8.1;-999;   5.8;   4;     -999;   0;eor
      142;20140824;   3;   12.2;  10.6;  -999;    -999;   76.04;-999;   16.9;    8.6;    6.1;-999;   0.0;   4;     -999;   0;eor
      142;20140825;   3;   13.1;  10.3;  -999;    -999;   70.67;-999;   19.0;    6.4;    4.2;-999;   8.3;   4;     -999;   0;eor
      142;20140826;   3;   15.4;  15.3;  -999;    -999;   87.83;-999;   20.1;   11.5;   11.4;-999;   5.5;   4;     -999;   0;eor
      142;20140827;   3;   14.3;  13.8;  -999;    -999;   85.67;-999;   19.0;    9.3;    7.9;-999;   5.3;   4;     -999;   0;eor
      142;20140828;   3;   14.8;  13.4;  -999;    -999;   81.38;-999;   21.8;    8.3;    8.0;-999;   0.0;   0;     -999;   0;eor
      142;20140829;   3;   16.7;  16.3;  -999;    -999;   85.88;-999;   21.1;   11.6;    9.9;-999;   0.5;   4;     -999;   0;eor
      142;20140830;   3;   17.5;  15.7;  -999;    -999;   79.67;-999;   22.7;   13.9;   12.8;-999;   0.0;   0;     -999;   0;eor
      142;20140831;   3;   12.8;  14.1;  -999;    -999;   95.13;-999;   14.6;   10.3;    9.9;-999;  26.0;   4;     -999;   0;eor
      142;20140901;   3;   12.1;  12.5;  -999;    -999;   88.71;-999;   14.6;   10.5;    9.9;-999;   0.0;   0;     -999;   0;eor
      142;20140902;   3;   13.3;  13.4;  -999;    -999;   88.54;-999;   16.5;   10.6;    9.5;-999;   3.9;   4;     -999;   0;eor
      142;20140903;   3;   14.5;  14.7;  -999;    -999;   89.21;-999;   16.8;   12.3;   10.8;-999;   0.0;   0;     -999;   0;eor
      142;20140904;   3;   16.2;  16.0;  -999;    -999;   87.29;-999;   21.8;   12.5;   11.0;-999;   0.0;   0;     -999;   0;eor
      142;20140905;   3;   15.9;  16.4;  -999;    -999;   90.75;-999;   21.4;   11.1;   10.2;-999;   0.0;   0;     -999;   0;eor
      142;20140906;   3;   17.5;  16.2;  -999;    -999;   83.42;-999;   25.2;   11.8;   10.9;-999;   0.0;   0;     -999;   0;eor
      142;20140907;   3;   18.1;  15.9;  -999;    -999;   79.04;-999;   25.5;   12.3;   10.9;-999;   0.0;   0;     -999;   0;eor
      142;20140908;   3;   18.5;  16.9;  -999;    -999;   81.08;-999;   25.5;   12.3;   10.8;-999;   5.5;   4;     -999;   0;eor
      142;20140909;   3;   17.5;  16.5;  -999;    -999;   82.92;-999;   22.4;   12.5;   10.8;-999;   0.0;   0;     -999;   0;eor
      142;20140910;   3;   14.6;  12.8;  -999;    -999;   78.58;-999;   19.4;   10.6;    9.4;-999;   0.0;   0;     -999;   0;eor
      142;20140911;   3;   11.9;  11.8;  -999;    -999;   85.00;-999;   16.5;    8.7;    7.3;-999;   7.2;   4;     -999;   0;eor
      142;20140912;   3;   10.8;  12.7;  -999;    -999;   98.33;-999;   11.8;    8.7;    7.4;-999;  11.1;   4;     -999;   0;eor
      142;20140913;   3;   13.0;  14.1;  -999;    -999;   94.21;-999;   15.2;   10.5;    9.7;-999;   2.7;   4;     -999;   0;eor
      142;20140914;   3;   15.1;  15.9;  -999;    -999;   92.67;-999;   18.0;   13.9;   13.4;-999;   0.2;   4;     -999;   0;eor
      142;20140915;   3;   14.5;  14.9;  -999;    -999;   90.58;-999;   18.1;    9.6;    8.1;-999;   0.0;   0;     -999;   0;eor
      142;20140916;   3;   13.8;  14.3;  -999;    -999;   90.88;-999;   19.3;    8.9;    7.5;-999;   0.0;   0;     -999;   0;eor
      142;20140917;   3;   14.2;  14.8;  -999;    -999;   91.29;-999;   21.2;    9.2;    7.7;-999;   0.0;   0;     -999;   0;eor
      142;20140918;   3;   16.3;  15.6;  -999;    -999;   85.21;-999;   24.0;    9.0;    8.0;-999;   0.6;   4;     -999;   0;eor
      142;20140919;   3;   17.7;  16.1;  -999;    -999;   82.04;-999;   24.8;   10.8;    9.7;-999;   0.7;   4;     -999;   0;eor
      142;20140920;   3;   16.9;  17.0;  -999;    -999;   89.00;-999;   21.5;   13.6;   11.5;-999;   4.5;   4;     -999;   0;eor
      142;20140921;   3;   14.8;  16.0;  -999;    -999;   94.83;-999;   19.5;   11.9;   11.4;-999;  12.5;   4;     -999;   0;eor
      142;20140922;   3;    9.8;  10.8;  -999;    -999;   88.63;-999;   12.9;    6.2;    4.9;-999;   0.9;   4;     -999;   0;eor
      142;20140923;   3;    8.9;   8.7;  -999;    -999;   78.21;-999;   14.1;    4.0;    1.7;-999;   0.0;   0;     -999;   0;eor
      142;20140924;   3;   10.1;  10.1;  -999;    -999;   82.17;-999;   17.9;    2.0;    0.2;-999;   2.3;   4;     -999;   0;eor
      142;20140925;   3;   10.9;  11.4;  -999;    -999;   87.92;-999;   14.5;    7.7;    5.2;-999;   0.0;   0;     -999;   0;eor
      142;20140926;   3;   12.0;  11.4;  -999;    -999;   82.50;-999;   16.8;    7.2;    5.0;-999;   0.0;   0;     -999;   0;eor
      142;20140927;   3;   13.1;  13.4;  -999;    -999;   88.96;-999;   17.8;    7.6;    5.5;-999;   0.0;   0;     -999;   0;eor
      142;20140928;   3;   10.4;  12.5;  -999;    -999;   98.33;-999;   15.2;    6.4;    4.4;-999;   0.0;   0;     -999;   0;eor
      142;20140929;   3;   13.4;  14.2;  -999;    -999;   92.75;-999;   21.1;    9.2;    7.9;-999;   0.0;   0;     -999;   0;eor
      142;20140930;   3;   14.7;  15.8;  -999;    -999;   94.42;-999;   18.8;    9.6;    8.3;-999;   6.1;   4;     -999;   0;eor
      142;20141001;   3;   14.9;  15.6;  -999;    -999;   92.50;-999;   19.2;   10.4;    8.7;-999;   0.0;   0;     -999;   0;eor
      142;20141002;   3;   11.9;  13.5;  -999;    -999;   96.92;-999;   16.9;    8.4;    6.4;-999;   0.0;   4;     -999;   0;eor
      142;20141003;   3;   11.3;  12.0;  -999;    -999;   89.96;-999;   17.8;    6.6;    4.7;-999;   0.0;   0;     -999;   0;eor
      142;20141004;   3;    9.8;  11.6;  -999;    -999;   95.42;-999;   12.8;    7.5;    5.0;-999;   0.0;   0;     -999;   0;eor
      142;20141005;   3;   11.4;  12.4;  -999;    -999;   92.42;-999;   13.6;    8.9;    7.2;-999;   0.0;   0;     -999;   0;eor
      142;20141006;   3;   10.3;  12.2;  -999;    -999;   97.29;-999;   11.9;    8.6;    6.7;-999;   0.0;   0;     -999;   0;eor
      142;20141007;   3;   14.3;  13.4;  -999;    -999;   84.29;-999;   20.8;   10.1;   10.1;-999;   1.3;   4;     -999;   0;eor
      142;20141008;   3;   15.2;  14.5;  -999;    -999;   85.00;-999;   19.1;   11.9;    9.8;-999;   0.0;   0;     -999;   0;eor
