STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      150;20140809;   3;   20.7;  16.1;  -999;    -999;   66.83;-999;   24.6;   15.2;   13.3;-999;   2.8;   4;   10.533;   0;eor
      150;20140810;   3;   19.7;  19.9;  -999;    -999;   86.42;-999;   25.5;   15.7;   15.4;-999;   5.8;   4;    2.617;   0;eor
      150;20140811;   3;   17.4;  13.6;  -999;    -999;   69.71;-999;   22.6;   12.4;   10.1;-999;   0.1;   4;    9.233;   0;eor
      150;20140812;   3;   17.5;  12.7;  -999;    -999;   65.58;-999;   23.2;   13.1;   10.0;-999;   0.0;   0;   10.467;   0;eor
      150;20140813;   3;   15.6;  14.9;  -999;    -999;   84.38;-999;   18.6;   13.4;   11.3;-999;  14.1;   4;    1.417;   0;eor
      150;20140814;   3;   15.6;  14.5;  -999;    -999;   82.42;-999;   20.8;   12.0;   10.1;-999;  11.8;   4;    7.700;   0;eor
      150;20140815;   3;   14.8;  14.2;  -999;    -999;   85.17;-999;   20.0;   12.4;   11.4;-999;   4.7;   4;    2.800;   0;eor
      150;20140816;   3;   15.7;  13.7;  -999;    -999;   78.25;-999;   20.8;   12.3;   11.2;-999;   1.3;   4;    5.700;   0;eor
      150;20140817;   3;   16.3;  13.3;  -999;    -999;   72.83;-999;   21.0;   11.7;    9.8;-999;   0.0;   0;    5.633;   0;eor
      150;20140818;   3;   14.7;  13.4;  -999;    -999;   80.17;-999;   17.9;   11.6;    9.7;-999;   1.9;   4;    1.933;   0;eor
      150;20140819;   3;   14.2;  12.1;  -999;    -999;   76.42;-999;   21.4;    8.1;    6.6;-999;   0.3;   4;    8.183;   0;eor
      150;20140820;   3;   13.8;  10.3;  -999;    -999;   67.67;-999;   19.5;    7.0;    5.4;-999;   0.0;   0;    7.933;   0;eor
      150;20140821;   3;   13.7;  10.1;  -999;    -999;   67.04;-999;   20.3;    7.6;    5.7;-999;   0.0;   0;    9.983;   0;eor
      150;20140822;   3;   14.6;   9.9;  -999;    -999;   61.75;-999;   20.3;    7.9;    5.0;-999;   0.0;   0;    4.900;   0;eor
      150;20140823;   3;   14.1;  11.7;  -999;    -999;   73.54;-999;   19.7;    9.8;    7.6;-999;   0.0;   0;    2.083;   0;eor
      150;20140824;   3;   13.3;  10.7;  -999;    -999;   71.33;-999;   18.8;    7.9;    5.4;-999;   0.1;   4;    7.683;   0;eor
      150;20140825;   3;   14.1;  12.1;  -999;    -999;   76.29;-999;   20.3;    8.9;    6.8;-999;  12.7;   4;    1.067;   0;eor
      150;20140826;   3;   16.1;  15.8;  -999;    -999;   87.00;-999;   21.3;   12.4;   12.2;-999;  14.9;   4;    1.317;   0;eor
      150;20140827;   3;   15.4;  14.4;  -999;    -999;   84.00;-999;   20.9;   12.1;   10.7;-999;   0.0;   0;    5.000;   0;eor
      150;20140828;   3;   17.4;  15.9;  -999;    -999;   80.67;-999;   23.4;   10.3;    8.9;-999;   0.0;   0;    6.317;   0;eor
      150;20140829;   3;   19.4;  16.5;  -999;    -999;   74.83;-999;   24.8;   15.9;   13.2;-999;   0.0;   0;    6.633;   0;eor
      150;20140830;   3;   18.1;  14.9;  -999;    -999;   73.13;-999;   22.9;   12.9;   10.4;-999;   7.4;   4;    6.650;   0;eor
      150;20140831;   3;   15.1;  14.8;  -999;    -999;   86.46;-999;   19.2;   11.6;   10.0;-999;   1.2;   4;    1.767;   0;eor
      150;20140901;   3;   14.6;  13.2;  -999;    -999;   80.08;-999;   19.1;   10.5;    8.6;-999;   0.0;   0;    3.567;   0;eor
      150;20140902;   3;   15.8;  14.0;  -999;    -999;   79.38;-999;   20.8;   10.5;    8.3;-999;   0.0;   0;    4.217;   0;eor
      150;20140903;   3;   15.1;  14.3;  -999;    -999;   83.71;-999;   16.6;   11.5;   10.2;-999;   0.0;   0;    2.650;   0;eor
      150;20140904;   3;   16.8;  15.9;  -999;    -999;   83.33;-999;   19.0;   13.6;   11.4;-999;   0.2;   4;    0.000;   0;eor
      150;20140905;   3;   19.7;  17.6;  -999;    -999;   78.67;-999;   26.0;   15.2;   13.7;-999;   0.1;   4;    8.717;   0;eor
      150;20140906;   3;   19.3;  17.5;  -999;    -999;   79.63;-999;   26.4;   13.1;   11.3;-999;   0.0;   0;    8.283;   0;eor
      150;20140907;   3;   18.8;  17.0;  -999;    -999;   79.33;-999;   23.8;   15.1;   12.6;-999;   0.0;   0;    6.567;   0;eor
      150;20140908;   3;   18.7;  15.9;  -999;    -999;   75.25;-999;   24.1;   14.6;   11.6;-999;   0.0;   0;    7.300;   0;eor
      150;20140909;   3;   16.4;  13.5;  -999;    -999;   73.71;-999;   22.2;   12.0;    8.8;-999;   0.0;   0;    8.850;   0;eor
      150;20140910;   3;   13.7;  12.0;  -999;    -999;   77.21;-999;   17.9;    9.3;    6.9;-999;   0.0;   0;    0.200;   0;eor
      150;20140911;   3;   12.7;  13.0;  -999;    -999;   88.13;-999;   17.8;    7.9;    5.6;-999;  10.1;   4;    0.950;   0;eor
      150;20140912;   3;   13.3;  13.8;  -999;    -999;   89.83;-999;   15.9;   10.1;    8.4;-999;   5.4;   4;    0.000;   0;eor
      150;20140913;   3;   16.4;  16.1;  -999;    -999;   86.50;-999;   18.9;   15.2;   13.9;-999;   0.0;   0;    0.000;   0;eor
      150;20140914;   3;   16.7;  16.0;  -999;    -999;   84.67;-999;   20.9;   12.3;   10.0;-999;   0.0;   0;    2.100;   0;eor
      150;20140915;   3;   16.3;  16.2;  -999;    -999;   87.54;-999;   20.2;   11.9;   10.0;-999;   0.0;   0;    0.367;   0;eor
      150;20140916;   3;   17.1;  16.0;  -999;    -999;   83.63;-999;   24.7;   11.9;    9.5;-999;   0.0;   0;    7.617;   0;eor
      150;20140917;   3;   17.5;  16.1;  -999;    -999;   82.00;-999;   24.7;   11.8;    9.4;-999;   0.3;   4;    8.067;   0;eor
