STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      164;20140808;   3;   19.6;  17.1;   2.9; 1007.80;   77.42;   2.1;   26.4;   14.9;   13.1;   6.2;   0.0;   0;    9.117;   0;eor
      164;20140809;   3;   21.0;  17.6;   3.8; 1004.40;   73.08;   3.6;   29.4;   13.8;   11.8;  12.5;   0.2;   6;    7.467;   0;eor
      164;20140810;   3;   20.8;  17.2;   6.3; 1004.85;   72.46;   2.8;   27.3;   12.3;   10.5;  14.6;   4.2;   6;    4.883;   0;eor
      164;20140811;   3;   19.2;  15.4;   4.6; 1003.13;   69.63;   4.0;   22.4;   13.7;   11.6;  10.1;   0.0;   0;    8.300;   0;eor
      164;20140812;   3;   16.4;  12.6;   2.6; 1004.31;   68.46;   3.7;   21.5;   12.4;   10.4;  13.0;   1.3;   6;    9.217;   0;eor
      164;20140813;   3;   18.6;  13.1;   5.3;  999.93;   63.04;   3.3;   25.0;   11.8;    9.7;  10.6;   3.6;   6;    9.183;   0;eor
      164;20140814;   3;   17.8;  14.9;   4.7; 1001.10;   74.58;   4.3;   22.0;   13.9;   13.0;  10.5;   0.0;   0;    9.833;   0;eor
      164;20140815;   3;   16.8;  14.2;   7.3; 1003.45;   74.96;   3.1;   21.0;   13.5;   11.8;   8.0;   0.0;   6;    4.700;   0;eor
      164;20140816;   3;   15.3;  13.5;   5.7; 1006.21;   79.00;   4.9;   20.2;   12.0;   11.3;  13.8;   1.1;   6;    5.267;   0;eor
      164;20140817;   3;   16.6;  12.3;   7.2; 1002.63;   66.33;   4.6;   20.6;   12.9;   12.3;  11.5;   0.1;   6;    4.350;   0;eor
      164;20140818;   3;   16.4;  11.7;   5.2;  996.89;   63.08;   5.4;   20.0;   13.3;   12.2;  17.2;   0.0;   6;    5.733;   0;eor
      164;20140819;   3;   14.9;  11.8;   6.0; 1002.00;   71.42;   5.2;   20.3;   10.5;    9.5;  13.0;   1.5;   6;    6.933;   0;eor
      164;20140820;   3;   13.3;  11.0;   5.5; 1006.09;   73.04;   4.9;   18.8;    9.2;    7.4;  12.6;   0.0;   6;    6.267;   0;eor
      164;20140821;   3;   13.2;  10.6;   3.7; 1008.71;   71.88;   3.0;   19.3;    7.5;    5.7;   9.4;   0.0;   0;    7.517;   0;eor
      164;20140822;   3;   14.8;  10.3;   6.0; 1006.34;   63.25;   3.1;   20.8;    8.5;    6.2;   8.9;   0.0;   6;    3.150;   0;eor
      164;20140823;   3;   15.3;  10.9;   5.3; 1004.78;   64.25;   3.5;   20.4;   11.0;    9.5;   9.3;   0.0;   6;   10.067;   0;eor
      164;20140824;   3;   12.9;  11.3;   4.8; 1007.52;   76.54;   3.9;   18.2;    9.8;    8.4;  13.4;   1.4;   6;    6.333;   0;eor
      164;20140825;   3;   13.1;  10.1;   4.3; 1007.22;   69.33;   4.1;   18.6;    8.5;    6.6;  10.8;   0.0;   6;    9.683;   0;eor
      164;20140826;   3;   12.9;  10.1;   4.4; 1001.65;   71.58;   1.9;   20.0;    6.8;    4.2;   7.7;   0.0;   0;    8.733;   0;eor
      164;20140827;   3;   14.2;  11.3;   2.5; 1006.81;   72.67;   3.4;   21.4;    7.4;    5.2;  10.3;   0.6;   6;    9.167;   0;eor
      164;20140828;   3;   15.7;  10.8;   0.8; 1010.52;   64.13;   2.6;   23.4;    8.9;    5.9;   7.8;   0.0;   0;   11.833;   0;eor
      164;20140829;   3;   15.8;  14.5;   5.1; 1008.27;   81.54;   2.0;   21.8;    8.7;    6.8;  10.9;   3.8;   6;    3.850;   0;eor
      164;20140830;   3;   16.3;  15.1;   5.2; 1008.93;   82.79;   2.4;   22.8;   10.7;    8.3;   8.9;   6.9;   6;    5.783;   0;eor
      164;20140831;   3;   15.0;  16.2;   7.3; 1006.19;   94.71;   1.7;   16.9;   10.9;   10.5;   4.8;   1.4;   6;    0.033;   0;eor
      164;20140901;   3;   14.5;  15.9;   8.0; 1009.96;   96.71;   2.3;   17.0;   11.9;   11.9;   5.3;  12.3;   6;    0.000;   0;eor
      164;20140902;   3;   15.7;  13.8;   7.0; 1015.74;   79.46;   2.7;   20.3;   12.9;   12.7;   8.8;   0.0;   0;    4.733;   0;eor
      164;20140903;   3;   16.1;  13.7;   3.8; 1019.29;   76.92;   2.9;   21.4;   12.0;    9.8;   9.1;   0.0;   0;    6.550;   0;eor
      164;20140904;   3;   16.6;  14.1;   0.3; 1016.88;   76.50;   3.2;   23.5;    9.5;    7.6;   8.4;   0.0;   0;   12.267;   0;eor
      164;20140905;   3;   18.2;  14.5;   2.9; 1010.97;   72.00;   2.9;   25.6;   11.5;    9.7;   8.3;   0.0;   0;   11.533;   0;eor
      164;20140906;   3;   18.4;  14.6;   3.8; 1007.33;   72.08;   2.1;   26.0;   10.5;    8.7;   7.1;   0.4;   6;   11.833;   0;eor
      164;20140907;   3;   19.1;  17.3;   5.4; 1006.43;   79.42;   1.4;   26.5;   13.0;   12.5;   7.1;   1.2;   6;    7.900;   0;eor
      164;20140908;   3;   18.1;  16.1;   5.0; 1009.20;   79.08;   2.0;   22.8;   13.4;   12.0;   6.4;   0.0;   6;    6.250;   0;eor
      164;20140909;   3;   15.2;  13.5;   5.3; 1009.56;   79.08;   4.2;   19.5;   11.5;   10.2;  13.3;   0.0;   0;    6.017;   0;eor
      164;20140910;   3;   13.8;  13.9;   6.9; 1008.53;   88.63;   3.5;   19.7;    9.0;    8.1;  10.8;   8.4;   6;    2.733;   0;eor
      164;20140911;   3;   13.0;  13.7;   7.0; 1012.05;   91.46;   2.3;   17.6;    9.1;    8.6;   6.6;   0.0;   0;    1.717;   0;eor
      164;20140912;   3;   16.0;  17.1;   7.7; 1012.40;   93.13;   4.4;   18.1;   12.5;   11.5;  10.6;   0.0;   6;    0.000;   0;eor
      164;20140913;   3;   17.4;  18.7;   7.9; 1013.62;   93.88;   3.4;   19.7;   15.9;   14.9;   8.3;   5.0;   6;    0.000;   0;eor
      164;20140914;   3;   17.9;  18.2;   5.8; 1013.21;   88.58;   2.9;   21.9;   14.6;   13.2;   8.1;   0.2;   6;    0.867;   0;eor
      164;20140915;   3;   18.6;  15.1;   4.9; 1013.82;   72.54;   3.1;   25.2;   12.4;   10.1;   9.3;   0.0;   0;   11.183;   0;eor
      164;20140916;   3;   18.0;  14.4;   2.0; 1013.85;   71.58;   3.5;   24.5;   13.2;   10.2;   8.8;   0.0;   0;   10.917;   0;eor
      164;20140917;   3;   16.4;  13.5;   0.5; 1012.18;   73.71;   2.9;   23.3;   10.3;    7.6;   7.8;   0.0;   0;   11.167;   0;eor
      164;20140918;   3;   16.9;  13.3;   0.8; 1009.57;   71.63;   3.1;   25.0;   10.5;    8.3;  10.7;   0.0;   0;   10.117;   0;eor
      164;20140919;   3;   15.4;  14.3;   1.6; 1007.95;   82.71;   2.0;   22.5;    8.8;    7.2;   6.6;   0.0;   0;    9.417;   0;eor
      164;20140920;   3;   16.2;  16.1;   4.6; 1006.49;   87.50;   1.5;   22.7;    8.5;    8.1;   6.5;   8.8;   6;    6.417;   0;eor
